Key,Comment,en,en-GB,de,es,
ALBUM_LABEL_n_ITEM,"Album: Label, n item (count).",(%d item),(%d item),(%d item),(%d item),
ALBUM_LABEL_n_ITEMS,"Album: Label, n items (count).",(%d items),(%d items),(%d items),(%d items),
SHARE_LABEL_n_CHARACTER_REMAINING,"Share: Label, n character remaining (message limit).",%d character remaining,%d character remaining,%d character remaining,%d character remaining,
SHARE_LABEL_n_CHARACTERS_REMAINING,"Share: Label, n characters remaining (message limit).",%d characters remaining,%d characters remaining,%d characters remaining,%d characters remaining,
MUSIC_LABEL_n_OF_m,"Music: Label, (Track number) Of (Total Tracks)",%1$d of %2$d,%1$d of %2$d,%1$d of %2$d,%1$d of %2$d,
UPLOAD_ALERT_TITLE_WWAN_UPLOADS_DISABLED,"Upload: Alert title, WWAN uploads are disabled and no WiFi connection is available.",3G uploads disabled,3G uploads disabled,3G uploads disabled,3G uploads disabled,
SETTINGS_LABEL_3G_UPLOADS_ENABLED,"Settings: Label, allow 3G uploads over WWAN.",3G uploads,3G uploads,3G uploads,3G uploads,
GENERIC_LABEL_CONNECTION_FAILURE,A connection failure occurred.,A connection failure occurred.,A connection failure occurred.,A connection failure occurred.,A connection failure occurred.,
ALBUM_ALERT_MESSAGE_SEARCH_REQUIRES_3_CHARACTERS,"Album: Alert message, a search query must have a minimum of 3 characters.",A search requires a minimum of 3 characters.,A search requires a minimum of 3 characters.,A search requires a minimum of 3 characters.,A search requires a minimum of 3 characters.,
UPLOAD_ALERT_MESSAGE_CANNOT_START_NEW_UPLOAD_WHILST_UPLOAD_PROGRESSING,"Upload: Alert message, cannot start a new upload whilst an upload is in progress.",Active upload in progress. Please try again when the active upload is completed,Active upload in progress. Please try again when the active upload is completed,Active upload in progress. Please try again when the active upload is completed,Active upload in progress. Please try again when the active upload is completed,
GENERIC_TITLE_ACTIVITY_DETAIL,"Generic: Title, Activity Detail modal view.",Activity Detail,Activity Detail,Activity Detail,Activity Detail,
GENERIC_TITLE_ACTIVITY_SUMMARY,"Generic: Title, Activity Summary.",Activity Summary:,Activity Summary:,Activity Summary:,Activity Summary:,
FILEINFO_LABEL_ALBUM,"FileInfo, 'Album' label",Album,Album,Album,Album,
ALBUMS_LABEL_ALBUMS,"Albums: Label, 'Albums'.",Albums,Albums,Albums,Albums,
HOME_BUTTON_ACCESSIBILITY_LABEL_ALL_CLOUD_FILES,"Home: Button accessibility label, All Cloud Files",All Files,All Files,All Files,All Files,
HOME_LABEL_CLOUD_ALL,"Home: Label, 'All Cloud Files'.",Files,Files,Files,Files,
HOME_LABEL_CLOUD_DOCUMENTS,"Home: Label, 'Documents'.",Documents,Documents,Documents,Documents,
HOME_LABEL_CONTACTS,"Home: Label, for the 'contacts' menu option",Contacts,Contacts,Contacts,Contacts,
HOME_TITLE_ALL_FILES,"Home: Title, All Files.",All Files,All Files,All Files,All Files,
UPLOAD_LABEL_UPLOAD_ALL,"Upload: Label, Upload all media on device.",All Media on Device,All Media on Device,All Media on Device,All Media on Device,
GENERIC_TITLE_APPLICATION_NAME,"Generic: Title, application name.",Cloud,Cloud,Cloud,Cloud,
DOWNLOAD_ALERT_MESSAGE_CANCEL_CONFIRMATION_REQUEST,"Download: Alert message, cancel confirmation request.",Are you sure you want to cancel the download?,Are you sure you want to cancel the download?,Are you sure you want to cancel the download?,Are you sure you want to cancel the download?,
UPLOAD_ALERT_MESSAGE_CANCEL_UPLOAD_QUERY,"Upload: Alert message, request confirmation of upload cancellation.",Are you sure you want to cancel the upload?,Are you sure you want to cancel the upload?,Are you sure you want to cancel the upload?,Are you sure you want to cancel the upload?,
